gamma,bias,Derrida,avgK,medK,avgKe,medKe,avgKc,medKc
1.5,0.05,[0.331 0.259 0.221 0.216 0.238 0.261 0.219 0.363 0.258 0.213],[3.1  3.11 3.03 2.62 2.98 3.35 2.97 3.15 2.61 2.79],[2. 2. 1. 1. 1. 2. 2. 2. 1. 2.],"[0.98613475 0.92274867 0.88367945 0.71367086 0.9695219  1.13073363
 0.83560845 1.07855631 0.75528844 0.7855644 ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.69230174 0.65408473 0.67755946 0.49250387 0.70924114 0.8474298
 0.60320122 0.74820047 0.48673619 0.54196576]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.1,[0.509 0.479 0.48  0.456 0.539 0.537 0.391 0.525 0.594 0.486],[3.12 3.01 3.02 2.96 2.91 3.03 2.51 3.3  3.09 2.81],[1.5 2.  2.  1.5 1.  2.  1.5 2.  2.  1. ],"[1.34879511 1.19205714 1.1627935  1.13487708 1.2935946  1.28309059
 0.81478994 1.31106292 1.36964116 1.13181073]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.81645503 0.67893581 0.69130669 0.67463782 0.76260889 0.74535621
 0.42174795 0.79884368 0.78923833 0.65234296]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.15000000000000002,[0.76  0.774 0.686 0.711 0.757 0.86  0.836 0.774 0.701 0.804],[3.06 3.06 2.86 2.76 2.92 3.38 3.58 2.89 2.96 3.14],[2.  2.  2.  2.  1.  2.  2.  1.  1.5 2. ],"[1.50572673 1.53566562 1.30415752 1.2644512  1.43861692 1.88293911
 1.7654328  1.44792914 1.45999181 1.63516287]",[1. 1. 0. 1. 1. 1. 1. 1. 1. 1.],"[0.73342937 0.73935093 0.62344707 0.55856497 0.6859509  0.9680978
 0.92620551 0.68637335 0.71872411 0.81795584]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.2,[1.006 0.907 0.922 0.871 0.919 0.969 1.136 0.901 0.965 1.007],[3.16 2.92 2.87 2.67 2.92 3.16 3.45 2.74 2.93 3.27],[2.  1.  2.  1.5 2.  2.  2.  1.  1.  2. ],"[1.7525758  1.63773119 1.50238159 1.36418209 1.59289438 1.70822164
 2.07217673 1.5279921  1.69177082 1.8321016 ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.76034435 0.67595873 0.56163941 0.55740841 0.63992807 0.72504049
 0.89593588 0.62302445 0.73988666 0.81619218]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.25,[1.353 1.171 1.089 1.278 0.954 1.171 1.099 1.012 0.937 1.123],[3.43 2.97 2.95 3.21 2.61 3.27 2.96 2.77 2.51 2.8 ],[1.  1.  2.  2.  1.  2.  2.  1.  1.  1.5],"[2.21959504 1.8218187  1.7029833  1.98207636 1.49856488 1.94842682
 1.69342693 1.58281242 1.40686475 1.69525554]",[1.   1.   1.   1.   1.   1.   1.25 1.   1.   1.  ],"[0.88191926 0.66569322 0.65381338 0.74920283 0.49865277 0.76249421
 0.60229167 0.5734008  0.46633741 0.55573406]",[0.   0.   0.   0.   0.   0.   0.25 0.   0.   0.  ]
1.5,0.3,[1.263 1.414 1.389 1.199 1.029 1.309 1.456 1.253 0.966 1.291],[3.03 3.23 3.45 2.76 2.84 3.19 3.44 3.   2.29 3.  ],[1. 2. 2. 2. 1. 2. 2. 2. 1. 2.],"[1.93718915 2.06482851 2.13066761 1.65799457 1.69514394 2.00166547
 2.23707392 1.82172335 1.27643917 1.93676123]",[1.   1.25 1.25 1.   1.   1.25 1.25 1.   1.   1.  ],"[0.68812787 0.67387148 0.76558216 0.50576312 0.59108388 0.66167279
 0.76559687 0.62535494 0.32210323 0.64576697]",[0.    0.25  0.25  0.    0.    0.125 0.25  0.    0.    0.   ]
1.5,0.35000000000000003,[1.683 1.488 1.269 1.139 1.545 1.531 1.555 1.388 1.35  1.255],[3.67 3.31 2.82 2.55 3.56 3.31 3.38 3.03 2.94 2.66],[2.  1.  1.5 1.  2.  1.  2.  2.  2.  1.5],"[2.53332424 2.23938582 1.77710939 1.57407468 2.35558299 2.33062967
 2.24467791 1.93200636 1.95278044 1.64403465]",[1.125 1.    1.    1.    1.    1.    1.    1.    1.    1.   ],"[0.85888759 0.76254866 0.51990968 0.41946531 0.77922007 0.77117288
 0.72771685 0.55696974 0.56987273 0.45034752]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.4,[1.553 1.703 1.515 1.541 1.509 1.684 1.662 1.386 1.259 1.198],[3.08 3.8  3.16 3.19 3.03 3.34 3.36 2.91 2.89 2.3 ],[2. 2. 2. 2. 2. 1. 2. 2. 2. 1.],"[2.12421088 2.6557003  2.12898206 2.1749069  2.05519444 2.3498551
 2.2748516  1.87690833 1.8655856  1.50306144]",[1.   1.   1.25 1.25 1.25 1.   1.25 1.   1.   1.  ],"[0.60444037 0.85000328 0.59473889 0.62876066 0.53605869 0.70504553
 0.6766265  0.51302162 0.55692349 0.33782218]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.5,0.45,[1.319 1.122 1.373 1.511 1.187 1.524 1.795 1.671 1.324 1.641],[2.68 2.56 2.85 3.09 2.57 3.1  3.71 3.27 2.64 3.26],[2.  1.5 2.  2.  1.  1.5 2.  2.  1.  2. ],"[1.80933329 1.61183628 1.90724373 2.09804794 1.6572599  2.09717131
 2.59868661 2.27936103 1.75509472 2.23754429]",[1.   1.   1.   1.   1.   1.   1.25 1.   1.   1.  ],"[0.44388895 0.40803745 0.47751717 0.59014511 0.44266761 0.61088896
 0.79696237 0.63033698 0.45643994 0.63199924]",[0.    0.    0.    0.    0.    0.    0.125 0.    0.    0.   ]
1.6,0.05,[0.271 0.195 0.193 0.303 0.239 0.29  0.196 0.241 0.245 0.241],[2.78 2.45 2.45 2.35 2.88 2.8  2.31 2.47 2.68 2.84],[1.  1.  2.  1.  1.  1.  1.  1.5 1.  1. ],"[0.88336629 0.62977882 0.51291995 0.64960895 0.85767593 0.90764252
 0.57237565 0.60065053 0.78897954 0.88694045]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.60863485 0.41869483 0.32465823 0.37295856 0.58613052 0.62295991
 0.37534195 0.36199819 0.56059086 0.63876662]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.6,0.1,[0.509 0.496 0.515 0.395 0.511 0.429 0.588 0.424 0.44  0.501],[2.48 2.88 2.67 2.13 2.69 2.54 2.66 2.34 2.77 2.81],[1. 2. 2. 1. 1. 1. 2. 1. 1. 1.],"[1.01718772 1.12123715 1.02757567 0.71647305 1.00250304 0.99370287
 1.08452254 0.82075684 1.09583068 1.16505058]",[0.  0.  0.  0.  0.  0.  0.5 0.  0.  0. ],"[0.50194907 0.63912899 0.47519285 0.33188565 0.5354425  0.56468981
 0.50678084 0.38285645 0.66149719 0.63450126]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1.6,0.15000000000000002,[0.544 0.787 0.878 0.702 0.738 0.586 0.631 0.693 0.713 0.706],[2.51 2.99 3.38 2.9  2.82 2.28 2.71 2.91 2.83 2.8 ],[1. 2. 2. 2. 1. 1. 1. 1. 1. 2.],"[1.05996947 1.4524802  1.71313017 1.30533427 1.37812752 1.00286945
 1.16646106 1.37349985 1.39036449 1.31216975]",[0.  1.  1.  1.  0.5 0.  0.  0.5 1.  1. ],"[0.49051634 0.6781284  0.88363799 0.5991331  0.63358589 0.40235187
 0.55888294 0.65073617 0.65657665 0.61164851]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
