gamma,bias,Derrida,avgK,medK,avgKe,medKe,avgKc,medKc,avgP
1.5,0.05,[0.248 0.322 0.312 0.228 0.293 0.313 0.278 0.303 0.298 0.248],[2.935 3.22  3.075 3.055 3.275 3.33  3.1   3.1   3.235 3.08 ],[1.  2.  2.  1.  2.  2.  1.  2.  2.  1.5],"[0.89550789 1.04880276 1.02019133 1.01437797 1.09069942 1.11452703
 1.04947201 0.96807293 1.03568679 0.98503883]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.64482918 0.74977414 0.71176878 0.73791801 0.80736813 0.79581945
 0.76377682 0.67052898 0.73208999 0.69906227]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.05082838 0.05015988 0.04995169 0.05002214 0.04993945 0.049449
 0.04992392 0.05037549 0.05016003 0.04985015]"
1.5,0.1,[0.457 0.508 0.554 0.515 0.541 0.575 0.65  0.501 0.527 0.653],[2.74  2.965 3.145 2.7   3.21  2.9   3.25  3.03  3.09  3.65 ],[2. 2. 2. 1. 1. 2. 2. 2. 2. 2.],"[1.05149268 1.23609724 1.31401154 1.02020688 1.37897091 1.22136057
 1.55813982 1.27777527 1.32660885 1.72057894]",[0. 0. 0. 0. 0. 0. 1. 0. 0. 1.],"[0.56477515 0.71653334 0.7690213  0.55276669 0.83786038 0.66332468
 0.87766711 0.77102478 0.76472439 1.03387209]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.09770917 0.09988763 0.09938598 0.09903447 0.10076299 0.0997127
 0.10030066 0.09942865 0.09941403 0.10024405]"
1.5,0.15000000000000002,[0.807 0.694 0.872 0.754 0.814 0.712 0.797 0.664 0.695 0.874],[3.125 2.89  3.295 2.925 3.17  2.935 3.185 2.77  2.675 3.4  ],[2. 2. 2. 2. 2. 1. 2. 1. 2. 2.],"[1.58042697 1.28260617 1.75159104 1.41578262 1.58458377 1.38687764
 1.55985189 1.32457078 1.25965922 1.77434085]",[1. 0. 1. 1. 1. 0. 1. 0. 1. 1.],"[0.79213352 0.60372312 0.87663254 0.66912338 0.77496219 0.68217244
 0.76209066 0.63119187 0.55350352 0.90752047]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.15043347 0.14998319 0.14959554 0.14803505 0.14961327 0.15177887
 0.15127814 0.14824202 0.15111984 0.15040683]"
1.5,0.2,[0.901 0.983 1.03  0.874 0.987 1.033 1.069 0.948 0.937 0.977],[2.675 3.095 3.035 2.64  3.105 3.02  3.32  3.1   2.845 2.955],[1.  2.  1.  1.  2.  1.5 2.  2.  2.  2. ],"[1.44775583 1.69168106 1.7367344  1.3977768  1.72486371 1.7228602
 1.86888635 1.68123529 1.50643987 1.63897639]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.55613229 0.70811416 0.73543344 0.54354096 0.7230589  0.72184854
 0.81845361 0.71209497 0.58500768 0.65574519]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.20114458 0.19994904 0.19998583 0.19810966 0.1970577  0.20019016
 0.2006706  0.19954817 0.20157815 0.20247104]"
1.5,0.25,[1.143 1.045 1.203 1.175 1.118 1.173 1.219 1.246 1.081 0.957],[3.13  2.795 3.195 3.29  2.95  2.895 3.28  3.3   3.105 2.49 ],[1.5 2.  2.  2.  1.  1.  2.  2.  2.  1. ],"[1.86825631 1.62458021 1.94558962 2.01784296 1.78514235 1.73419779
 1.95124425 2.02517521 1.82588138 1.38915808]",[1.    1.    1.125 1.    1.    1.    1.    1.    1.    1.   ],"[0.73729898 0.55081678 0.71362551 0.79688532 0.64797835 0.60503184
 0.75103337 0.79086765 0.69103122 0.4362049 ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.25031858 0.25129016 0.25029307 0.25022812 0.25151048 0.24897232
 0.24880493 0.25124615 0.25080707 0.24864268]"
1.5,0.3,[1.162 1.243 1.25  1.245 1.074 1.305 1.366 1.342 1.197 1.177],[2.915 2.865 2.905 2.965 2.74  2.975 3.25  3.24  2.905 2.83 ],[1. 1. 2. 2. 1. 1. 2. 2. 2. 2.],"[1.79288713 1.85434245 1.78970763 1.86391371 1.65642332 1.93015321
 2.11490627 2.07988919 1.82581375 1.73282453]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.60833818 0.59722026 0.57301787 0.61540419 0.52164091 0.62622255
 0.72025935 0.71353604 0.5990303  0.54409651]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.29520197 0.30064969 0.30046298 0.30197284 0.29979327 0.30066718
 0.30189167 0.30042946 0.29868589 0.30111262]"
1.5,0.35000000000000003,[1.471 1.546 1.32  1.64  1.409 1.324 1.195 1.403 1.549 1.384],[3.15  3.195 2.89  3.47  3.005 2.955 2.715 3.01  3.31  2.915],[2. 2. 2. 2. 1. 1. 1. 1. 2. 1.],"[2.07528206 2.22358531 1.82767632 2.35562059 1.98243229 1.87831791
 1.68103497 2.02019389 2.2384447  1.89378388]",[1.25 1.   1.   1.   1.   1.   1.   1.   1.   1.  ],"[0.65073738 0.66885051 0.5495562  0.75050981 0.60213138 0.58500889
 0.46535259 0.60918193 0.70547351 0.56784516]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.35063439 0.35006044 0.3519769  0.35107174 0.34935063 0.35063038
 0.35073359 0.34824622 0.34684415 0.35014326]"
1.5,0.4,[1.314 1.5   1.225 1.599 1.281 1.505 1.318 1.415 1.647 1.492],[2.945 3.06  2.545 3.26  2.635 3.16  2.815 2.855 3.38  3.   ],[2. 2. 1. 2. 1. 2. 1. 2. 2. 2.],"[1.92586825 2.05331837 1.59431092 2.27357325 1.726803   2.12381613
 1.90872617 1.88340361 2.34418506 2.03911324]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.56070102 0.57316731 0.4050345  0.65711634 0.44322939 0.6244512
 0.52123258 0.49839995 0.70012561 0.56951699]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.39777976 0.3979556  0.39884701 0.40034381 0.40291021 0.39766705
 0.40230672 0.40098298 0.39936797 0.40005919]"
1.5,0.45,[1.535 1.461 1.527 1.516 1.521 1.389 1.517 1.504 1.469 1.565],[3.125 3.145 3.12  2.965 3.1   2.76  3.165 2.92  2.925 3.275],[2.  2.  2.  2.  2.  2.  1.5 1.  2.  2. ],"[2.14706989 2.18473526 2.18237713 2.01094249 2.10021924 1.84770197
 2.16899965 2.03810514 2.01141183 2.22079564]",[1.    1.    1.125 1.    1.25  1.    1.    1.    1.    1.   ],"[0.60422871 0.61332107 0.60560802 0.53189708 0.58069531 0.45667413
 0.63536196 0.56430295 0.53775704 0.64144658]",[0.    0.    0.    0.    0.125 0.    0.    0.    0.    0.   ],"[0.449864   0.44907187 0.44971327 0.45074826 0.45020628 0.45345149
 0.45086811 0.4505415  0.44854719 0.44922401]"
1.6,0.05,[0.24  0.256 0.26  0.242 0.351 0.255 0.353 0.246 0.245 0.245],[2.735 2.915 2.82  2.52  2.735 2.83  2.91  2.715 2.67  2.965],[1.  1.5 1.5 1.  1.  1.  2.  1.  1.  2. ],"[0.78566988 0.87237476 0.82983946 0.68381554 0.87678977 0.88581272
 0.95409792 0.79057453 0.78793903 0.92224644]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.56293672 0.59105182 0.55335478 0.45262535 0.55018455 0.63062382
 0.62416476 0.5545763  0.52021808 0.64876286]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.04976569 0.05039579 0.05076808 0.04914235 0.05116387 0.0496845
 0.04940034 0.04943794 0.05048901 0.05034539]"
