,network,node,k,ke,keN,s,sN,kc,kcN,bias
0,Apoptosis Network,Cas3,4,1.625,0.40625,1.25,0.3125,0.375,0.09375,0.4375
0,Apoptosis Network,Cas12,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,Apoptosis Network,IAP,4,1.5208333333333335,0.38020833333333337,1.0,0.25,0.5208333333333335,0.13020833333333337,0.1875
0,Apoptosis Network,cFLIP,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,Apoptosis Network,TRADD,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,Apoptosis Network,TNFR2,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,Apoptosis Network,PTEN,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,Apoptosis Network,APC,4,1.1875,0.296875,0.5,0.125,0.6875,0.171875,0.0625
0,Apoptosis Network,FADD,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,Apoptosis Network,Apaf1,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,Apoptosis Network,Mito,2,1.25,0.625,1.0,0.5,0.25,0.125,0.25
0,Apoptosis Network,JNK,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,Apoptosis Network,Mdm2,2,1.25,0.625,1.0,0.5,0.25,0.125,0.75
0,Apoptosis Network,Cas8,3,1.5625,0.5208333333333334,1.25,0.4166666666666667,0.3125,0.10416666666666669,0.375
0,Apoptosis Network,p53,3,1.5625,0.5208333333333334,1.25,0.4166666666666667,0.3125,0.10416666666666669,0.375
0,Apoptosis Network,Apoptosis,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,Apoptosis Network,NFkB,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,Apoptosis Network,PIP3,3,1.25,0.4166666666666667,0.75,0.25,0.5,0.16666666666666669,0.125
0,Apoptosis Network,Cas7,3,1.5625,0.5208333333333334,1.25,0.4166666666666667,0.3125,0.10416666666666669,0.375
0,Apoptosis Network,PI3K,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,Apoptosis Network,JNKK,2,1.25,0.625,1.0,0.5,0.25,0.125,0.25
0,Apoptosis Network,Cas6,2,1.25,0.625,1.0,0.5,0.25,0.125,0.25
0,Apoptosis Network,MEKK1,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,Apoptosis Network,TNFR1,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,Apoptosis Network,NIK,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,Apoptosis Network,IKK,3,1.5625,0.5208333333333334,1.25,0.4166666666666667,0.3125,0.10416666666666669,0.375
0,Apoptosis Network,IkB,2,1.25,0.625,1.0,0.5,0.25,0.125,0.25
0,Apoptosis Network,TRAF2,2,1.25,0.625,1.0,0.5,0.25,0.125,0.75
0,Apoptosis Network,TRAF,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,Apoptosis Network,AKT,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,Apoptosis Network,PIP2,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,Apoptosis Network,GFR,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,Apoptosis Network,A20,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,Apoptosis Network,RIP,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,Apoptosis Network,BID,4,1.5208333333333335,0.38020833333333337,1.0,0.25,0.5208333333333335,0.13020833333333337,0.1875
0,Apoptosis Network,Cas9,4,1.5208333333333335,0.38020833333333337,1.0,0.25,0.5208333333333335,0.13020833333333337,0.1875
0,Apoptosis Network,BclX,3,1.25,0.4166666666666667,0.75,0.25,0.5,0.16666666666666669,0.125
0,Apoptosis Network,DNADamageEvent,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,Apoptosis Network,BAD,2,1.25,0.625,1.0,0.5,0.25,0.125,0.25
0,Apoptosis Network,TNF,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,Apoptosis Network,GF,1,1.0,1.0,1.0,1.0,0.0,0.0,0.5
0,Arabidopsis thaliana Cell Cycle,MYB77,4,1.6979166666666665,0.42447916666666663,1.25,0.3125,0.4479166666666665,0.11197916666666663,0.3125
